Advertiser,Advertiser Currency,Insertion Order,Line Item,Device Type,Floodlight Activity Name,Browser,Operating System,App/URL,Impressions,Clicks,Total Conversions,Total Media Cost (Advertiser Currency)
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,brandsoftheworld.com,2,0,0,0.001566
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,brightside.me,1,0,0,0.000811
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,britannica.com,7,0,0,0.004302
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,businessinsider.com,11,0,0,0.011589
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,businessinsider.my,1,0,0,0.001074
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,bustle.com,1,0,0,0.000934
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,buzzfeed.com,6,0,0,0.004476
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,car9.net,3,0,0,0.002643
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,cars.com,1,0,0,0.000891
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,carscoops.com,1,0,0,0.000955
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,cartreatments.com,1,0,0,0.001145
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,cashmoneylife.com,1,0,0,0.000896
{MS} {BU: VN} Ford Linked,USD,XVN19-0192_Everest_Q4_Shopper_Desktop_01136396,Competitor_Conquest_Intender_Desktop_01136396,Desktop,Unknown,Chrome,Macintosh,chotot.com,142,0,0,0.115755
